Episode,Min_AoI,p_d,PRR
377,114.6178,0.7069,0.0222
378,109.0000,0.7092,0.0151
379,110.7413,0.6054,0.0151
380,110.3362,0.6481,0.0241
381,109.4984,0.5495,0.0333
382,105.1455,0.5857,0.0255
383,109.3291,0.7242,0.0166
384,110.4878,0.6836,0.0176
385,114.5925,0.7045,0.0275
386,111.7285,0.7241,0.0183
387,110.3359,0.7116,0.0147
388,111.3680,0.6392,0.0177
389,113.2887,0.6770,0.0215
390,108.7733,0.5611,0.0163
391,111.0537,0.5844,0.0251
392,102.0113,0.7114,0.0205
393,109.2770,0.5511,0.0357
394,106.9631,0.6045,0.0399
395,110.9896,0.7240,0.0129
396,113.9941,0.6802,0.0230
397,115.6559,0.7215,0.0242
398,113.2571,0.7020,0.0228
399,118.0280,0.6851,0.0176
400,116.7453,0.7277,0.0223
401,108.5409,0.7071,0.0166
402,114.3322,0.7270,0.0142
403,113.0872,0.6973,0.0168
404,116.1388,0.7110,0.0197
405,110.0937,0.7273,0.0177
406,111.5442,0.5210,0.0208
407,117.4006,0.7263,0.0161
408,112.8433,0.7159,0.0156
409,111.8101,0.6555,0.0140
410,108.1481,0.6395,0.0219
411,111.9906,0.7251,0.0182
412,114.7619,0.7292,0.0183
413,118.6725,0.6086,0.0189
414,110.4588,0.7100,0.0148
415,113.8919,0.7193,0.0158
416,110.2675,0.7247,0.0206
417,110.7650,0.6745,0.0138
418,106.2060,0.5314,0.0300
419,109.4419,0.5748,0.0174
420,112.5895,0.6446,0.0154
421,115.7782,0.6716,0.0140
422,119.4422,0.6286,0.0142
423,107.6074,0.6379,0.0247
424,115.1305,0.6242,0.0317
425,117.8365,0.7243,0.0228
426,110.1713,0.5999,0.0352
427,115.8994,0.7271,0.0221
428,111.6151,0.5650,0.0161
429,110.6372,0.7255,0.0176
430,111.7148,0.5750,0.0305
431,114.8803,0.6328,0.0239
432,112.5219,0.7235,0.0241
433,111.4162,0.7195,0.0127
434,110.3951,0.5373,0.0259
435,113.1847,0.5767,0.0407
436,116.0434,0.7288,0.0255
437,106.5735,0.6457,0.0183
438,118.7015,0.6264,0.0183
439,112.8657,0.6160,0.0200
440,115.2554,0.7264,0.0229
441,116.4847,0.7254,0.0222
442,118.6080,0.7288,0.0124
443,107.2055,0.7040,0.0182
444,113.1615,0.6214,0.0271
445,105.5823,0.5971,0.0382
446,109.1109,0.6625,0.0315
447,113.2989,0.5181,0.0185
448,116.3418,0.7261,0.0198
449,111.7957,0.7283,0.0166
450,111.4106,0.5812,0.0151
451,115.6449,0.7053,0.0146
452,114.1559,0.6280,0.0242
453,110.4073,0.7248,0.0225
454,115.8861,0.7180,0.0129
455,107.8881,0.7045,0.0175
456,109.8470,0.7063,0.0189
457,114.4217,0.7226,0.0130
458,109.0909,0.6957,0.0158
459,111.8122,0.5488,0.0233
460,112.8743,0.6126,0.0156
461,114.2683,0.7183,0.0171
462,114.8650,0.7058,0.0219
463,108.2911,0.7218,0.0253
464,108.2058,0.6815,0.0247
465,103.1727,0.6882,0.0167
466,118.1778,0.7256,0.0199
467,107.3673,0.5273,0.0396
468,113.2582,0.5461,0.0370
469,112.6334,0.6137,0.0174
470,118.6098,0.6269,0.0186
471,105.4788,0.7242,0.0223
472,111.2428,0.6093,0.0173
473,108.5039,0.6202,0.0290
474,114.6118,0.6361,0.0173
475,111.2234,0.7136,0.0131
476,112.3727,0.7277,0.0146
477,113.7232,0.6777,0.0185
478,119.9851,0.7231,0.0154
479,115.9761,0.5661,0.0160
480,113.4188,0.5715,0.0433
481,112.6469,0.7226,0.0153
482,114.7732,0.7217,0.0127
483,109.3842,0.7264,0.0206
484,114.2278,0.5411,0.0359
485,110.0166,0.5587,0.0159
486,115.7256,0.7175,0.0163
487,106.8904,0.7031,0.0224
488,110.2567,0.5439,0.0215
489,110.3374,0.6014,0.0187
490,114.4442,0.7150,0.0130
491,118.4679,0.7288,0.0124
492,114.4203,0.6726,0.0302
493,112.9613,0.7259,0.0173
494,115.2134,0.6665,0.0143
495,115.4931,0.5541,0.0357
496,111.1019,0.5716,0.0367
497,109.5703,0.7140,0.0213
498,112.7064,0.6219,0.0256
499,109.5113,0.5772,0.0190
500,119.0909,0.7057,0.0217
501,110.6441,0.6133,0.0243
502,112.6213,0.7160,0.0145
503,108.2677,0.6419,0.0162
504,114.9917,0.7149,0.0213
505,107.4821,0.6547,0.0235
506,112.5488,0.7219,0.0182
507,111.1870,0.6092,0.0157
508,114.9329,0.7062,0.0142
509,114.5629,0.7273,0.0136
510,115.7004,0.5906,0.0217
511,106.6672,0.6888,0.0141
512,109.6997,0.7289,0.0215
513,113.1099,0.7253,0.0130
514,106.7789,0.7228,0.0256
515,104.6360,0.5237,0.0328
516,105.6086,0.6891,0.0204
517,111.5459,0.6841,0.0161
518,114.1542,0.7266,0.0123
519,110.1515,0.6676,0.0290
520,113.5634,0.7079,0.0132
521,109.5054,0.7249,0.0138
522,111.4525,0.6054,0.0181
523,110.5047,0.6446,0.0162
524,111.5378,0.5859,0.0175
525,110.9794,0.6377,0.0233
526,103.2187,0.6075,0.0146
527,109.2646,0.7025,0.0290
528,108.4253,0.6982,0.0298
529,112.9735,0.7272,0.0167
530,116.0329,0.7274,0.0123
531,114.7452,0.6983,0.0136
532,111.5465,0.5884,0.0355
533,112.0146,0.5623,0.0196
534,112.9135,0.6978,0.0157
535,119.0266,0.7272,0.0160
536,112.8941,0.7044,0.0200
537,106.8694,0.7152,0.0174
538,110.2929,0.7203,0.0134
539,112.0031,0.7222,0.0213
540,107.7163,0.6658,0.0198
541,116.9310,0.5743,0.0260
542,117.5693,0.6357,0.0346
543,115.0928,0.6443,0.0149
544,112.4722,0.6364,0.0258
545,108.5046,0.6560,0.0307
546,112.1395,0.5833,0.0170
547,112.1247,0.7288,0.0208
548,115.9311,0.5729,0.0199
549,107.5481,0.6119,0.0208
550,112.0592,0.7268,0.0183
551,110.2728,0.6085,0.0238
552,107.9906,0.6870,0.0269
553,108.4788,0.6988,0.0282
554,109.5753,0.6214,0.0240
555,116.9572,0.7290,0.0127
556,112.2908,0.7049,0.0128
557,112.4379,0.6187,0.0167
558,111.4413,0.6085,0.0178
559,110.1494,0.5168,0.0272
560,112.5041,0.7184,0.0230
561,114.7447,0.5436,0.0390
562,114.2619,0.5964,0.0194
563,110.6511,0.7103,0.0131
564,114.2203,0.7043,0.0128
565,114.3954,0.6926,0.0248
566,118.2972,0.6221,0.0190
567,114.6510,0.6338,0.0264
568,113.5609,0.7077,0.0130
569,113.0899,0.7267,0.0251
570,104.6169,0.6143,0.0263
571,113.9348,0.6523,0.0280
572,111.9964,0.6484,0.0207
573,107.2309,0.7092,0.0212
574,107.3497,0.6937,0.0176
575,111.9372,0.7026,0.0131
576,112.8893,0.7182,0.0193
577,110.0618,0.7064,0.0173
578,112.4603,0.6759,0.0179
579,101.2072,0.7081,0.0204
580,104.4040,0.7074,0.0129
581,118.5610,0.6343,0.0172
582,114.2267,0.7078,0.0149
583,105.1479,0.7044,0.0199
584,109.7611,0.7133,0.0133
585,111.4191,0.5797,0.0379
586,112.6206,0.6789,0.0228
587,117.4175,0.5457,0.0219
588,114.8110,0.6708,0.0162
589,119.0287,0.7261,0.0215
590,111.9146,0.7133,0.0164
591,110.2129,0.5168,0.0180
592,114.3641,0.6844,0.0135
593,107.5302,0.5679,0.0185
594,112.5719,0.5928,0.0217
595,116.6649,0.6188,0.0302
596,115.7430,0.7272,0.0147
597,115.6798,0.6372,0.0161
598,115.8904,0.7128,0.0133
599,110.5999,0.5432,0.0226
600,108.6328,0.5384,0.0179
601,115.0575,0.7033,0.0167
602,110.5947,0.7032,0.0171
603,112.6418,0.7071,0.0260
604,112.8681,0.6011,0.0208
605,111.8298,0.7155,0.0148
606,114.7973,0.7066,0.0240
607,108.3550,0.7243,0.0132
608,108.0793,0.6752,0.0293
609,111.8709,0.7204,0.0176
610,110.6930,0.6511,0.0223
611,116.0222,0.7276,0.0152
612,116.3444,0.6979,0.0146
613,112.9790,0.7158,0.0145
614,113.4480,0.7259,0.0152
615,116.3466,0.7136,0.0126
616,116.7981,0.7055,0.0214
617,110.6894,0.5788,0.0298
618,113.2523,0.5346,0.0184
619,113.0060,0.7117,0.0160
620,113.1505,0.7268,0.0137
621,112.3632,0.7010,0.0155
622,110.5423,0.5858,0.0313
623,110.4922,0.7028,0.0140
624,116.3576,0.6688,0.0258
625,104.7225,0.7249,0.0237
626,115.0808,0.7137,0.0209
627,112.2253,0.5502,0.0403
628,108.9701,0.7136,0.0254
629,119.8486,0.6997,0.0248
630,108.7652,0.5637,0.0243
631,115.9806,0.7002,0.0233
632,113.0212,0.7226,0.0190
633,110.1414,0.5240,0.0498
634,115.4425,0.7287,0.0172
635,111.0196,0.7110,0.0161
636,118.2508,0.6591,0.0254
637,108.6656,0.6419,0.0194
638,115.8239,0.6981,0.0150
639,115.2292,0.7264,0.0131
640,105.8900,0.7136,0.0254
641,103.9178,0.6068,0.0148
642,109.4155,0.6715,0.0228
643,114.9372,0.6953,0.0250
644,113.3261,0.6821,0.0275
645,113.0133,0.5650,0.0379
646,112.3681,0.7231,0.0174
647,111.5764,0.7209,0.0146
648,111.2172,0.7293,0.0175
649,106.3282,0.6916,0.0164
650,111.3914,0.6072,0.0158
651,112.5371,0.7203,0.0128
652,115.1098,0.5970,0.0206
653,115.7318,0.7042,0.0198
654,108.7637,0.7247,0.0246
655,109.2952,0.7142,0.0160
656,117.3596,0.6279,0.0271
657,118.4082,0.6957,0.0136
658,108.8242,0.5910,0.0163
659,106.4013,0.6603,0.0279
660,118.8332,0.7169,0.0187
661,113.2121,0.6831,0.0156
662,115.8086,0.7144,0.0126
663,116.7118,0.6836,0.0136
664,106.2349,0.6963,0.0205
665,115.4024,0.5770,0.0283
666,108.5331,0.5644,0.0157
667,115.6421,0.6852,0.0142
668,113.2998,0.6177,0.0364
669,109.0956,0.7228,0.0158
670,112.2799,0.5723,0.0183
671,109.3062,0.7197,0.0141
672,113.7571,0.7046,0.0201
673,112.2971,0.6321,0.0262
674,114.3851,0.6948,0.0232
675,114.8240,0.7082,0.0142
676,118.0875,0.7197,0.0145
677,115.8917,0.6429,0.0161
678,118.9164,0.6731,0.0223
679,116.4567,0.7062,0.0252
680,113.8442,0.6375,0.0340
681,110.9193,0.5323,0.0180
682,113.1541,0.5734,0.0205
683,114.7953,0.5562,0.0270
684,114.5648,0.6736,0.0146
685,117.4920,0.5510,0.0338
686,118.6754,0.7189,0.0273
687,114.2539,0.7147,0.0129
688,114.1856,0.7031,0.0149
689,114.3162,0.6370,0.0286
690,113.7070,0.7218,0.0135
691,113.2879,0.7183,0.0160
692,108.2989,0.6617,0.0253
693,119.0573,0.7275,0.0137
694,113.9497,0.6788,0.0241
695,116.4221,0.7191,0.0216
696,117.8721,0.7217,0.0160
697,110.3734,0.7194,0.0142
698,112.3686,0.7049,0.0161
699,109.7977,0.5269,0.0411
700,107.4242,0.5826,0.0287
701,108.4080,0.7033,0.0250
702,112.0960,0.7104,0.0136
703,109.9904,0.6844,0.0131
704,120.5466,0.7233,0.0181
705,109.8425,0.7242,0.0162
706,117.8224,0.7241,0.0167
707,112.4481,0.5133,0.0198
708,112.9902,0.5123,0.0170
709,112.0939,0.5616,0.0196
710,104.7826,0.6203,0.0156
711,111.4868,0.6997,0.0183
712,112.9751,0.5583,0.0268
713,108.0661,0.6837,0.0287
714,109.0919,0.6023,0.0155
715,109.5205,0.6580,0.0252
716,113.8829,0.7153,0.0195
717,110.6033,0.6652,0.0151
718,105.5862,0.7096,0.0247
719,110.4200,0.7240,0.0194
720,114.0233,0.7153,0.0232
721,108.4491,0.6592,0.0202
722,112.3577,0.7198,0.0227
723,116.2866,0.7176,0.0198
724,118.8051,0.6585,0.0177
725,109.6892,0.7268,0.0159
726,112.9614,0.6919,0.0146
727,117.0101,0.7046,0.0219
728,109.2897,0.6741,0.0263
729,108.6228,0.6979,0.0162
730,105.1332,0.7054,0.0282
731,120.1179,0.6710,0.0241
732,113.3399,0.6874,0.0211
733,114.6452,0.6818,0.0215
